,session_id,cell_id,n_cells,drn_accum,dsn_accum,is_drn,is_dsn
11423,570305847,576343694,181,388,905,False,False
11424,570305847,576343691,181,826,892,False,False
11425,570305847,576344050,181,194,630,False,False
11426,570305847,576344102,181,0,0,False,False
11427,570305847,576343589,181,500,961,False,True
11428,570305847,576343842,181,883,923,False,False
11429,570305847,576344028,181,598,903,False,False
11430,570305847,576343574,181,510,559,False,False
11431,570305847,576343166,181,88,255,False,False
11432,570305847,589432746,181,299,341,False,False
11433,570305847,576343294,181,171,577,False,False
11434,570305847,576343359,181,285,682,False,False
11435,570305847,576343334,181,385,626,False,False
11436,570305847,576343339,181,368,614,False,False
11437,570305847,576343342,181,609,997,False,True
11438,570305847,576343376,181,606,802,False,False
11439,570305847,576343330,181,436,688,False,False
11440,570305847,576343610,181,364,980,False,True
11441,570305847,576343594,181,71,472,False,False
11442,570305847,576344070,181,312,843,False,False
11443,570305847,576343869,181,292,722,False,False
11444,570305847,576343865,181,170,999,False,True
11445,570305847,576344065,181,758,843,False,False
11446,570305847,576344088,181,473,644,False,False
11447,570305847,576343860,181,0,0,False,False
11448,570305847,576343455,181,586,665,False,False
11449,570305847,576343133,181,483,880,False,False
11450,570305847,576343354,181,35,135,False,False
11451,570305847,576343089,181,806,807,False,False
11452,570305847,576343749,181,1,1,False,False
11453,570305847,576343386,181,70,427,False,False
11454,570305847,576343381,181,140,506,False,False
11455,570305847,576342981,181,38,793,False,False
11456,570305847,576343564,181,121,357,False,False
11457,570305847,576343511,181,587,656,False,False
11458,570305847,576343579,181,532,670,False,False
11459,570305847,576343584,181,423,677,False,False
11460,570305847,576343827,181,564,673,False,False
11461,570305847,576343837,181,26,76,False,False
11462,570305847,576343568,181,375,457,False,False
11463,570305847,576343708,181,886,963,False,True
11464,570305847,576343705,181,498,548,False,False
11465,570305847,576343480,181,195,495,False,False
11466,570305847,576343921,181,49,744,False,False
11467,570305847,576343018,181,246,421,False,False
11468,570305847,576343014,181,461,683,False,False
11469,570305847,576343345,181,397,429,False,False
11470,570305847,576343476,181,30,31,False,False
11471,593270603,595469809,297,854,1000,False,True
11472,593270603,595470928,297,233,483,False,False
11473,593270603,595469004,297,371,711,False,False
11474,593270603,595469011,297,683,996,False,True
11475,593270603,595471955,297,0,1000,False,True
11476,593270603,595469049,297,457,465,False,False
11477,593270603,595469055,297,61,430,False,False
11478,593270603,595469025,297,571,874,False,False
11479,593270603,595469032,297,195,602,False,False
11480,593270603,595468981,297,74,537,False,False
11481,593270603,595468967,297,142,403,False,False
11482,593270603,595469061,297,795,886,False,False
11483,593270603,595469067,297,481,981,False,True
11484,593270603,595469631,297,204,998,False,True
11485,593270603,595469640,297,42,945,False,False
11486,593270603,595469647,297,754,764,False,False
11487,593270603,595471546,297,768,893,False,False
11488,593270603,595471581,297,784,816,False,False
11489,593270603,595472137,297,144,370,False,False
11490,593270603,595471560,297,0,996,False,True
11491,593270603,595471539,297,614,918,False,False
11492,593270603,595468617,297,384,408,False,False
11493,593270603,595471525,297,345,926,False,False
11494,593270603,595471532,297,669,906,False,False
11495,593270603,595470662,297,401,657,False,False
11496,593270603,595468234,297,707,747,False,False
11497,593270603,595471749,297,261,992,False,True
11498,593270603,595471756,297,470,578,False,False
11499,593270603,595468206,297,338,649,False,False
11500,593270603,595471763,297,27,711,False,False
11501,593270603,595470160,297,514,745,False,False
11502,593270603,595469955,297,39,683,False,False
11503,593270603,595470908,297,249,650,False,False
11504,593270603,595469926,297,852,965,False,True
11505,593270603,595470522,297,528,696,False,False
11506,593270603,595470514,297,703,794,False,False
11507,593270603,595471905,297,23,417,False,False
11508,593270603,595470507,297,98,264,False,False
11509,593270603,595470500,297,223,410,False,False
11510,593270603,595471658,297,175,967,False,True
11511,593270603,595471665,297,42,379,False,False
11512,593270603,595470538,297,952,972,True,True
11513,593270603,595470531,297,1,1000,False,True
11514,593270603,595469703,297,47,836,False,False
11515,593270603,595469436,297,727,942,False,False
11516,593270603,595469429,297,2,986,False,True
11517,593270603,595469388,297,352,765,False,False
11518,593270603,595469419,297,563,649,False,False
11519,593270603,595469412,297,62,122,False,False
11520,593270603,595469374,297,107,438,False,False
11521,593270603,595469364,297,159,335,False,False
11522,593270603,595469203,297,99,605,False,False
11523,593270603,595471899,297,751,999,False,True
11524,593270603,595469196,297,502,677,False,False
11525,593270603,595469463,297,674,682,False,False
11526,593270603,595471962,297,109,440,False,False
11527,593270603,595471941,297,773,991,False,True
11528,593270603,595471948,297,369,668,False,False
11529,593270603,595471505,297,288,632,False,False
11530,593270603,595471512,297,170,873,False,False
11531,593270603,595468457,297,96,211,False,False
11532,593270603,595471484,297,57,454,False,False
11533,593270603,595471491,297,320,475,False,False
11534,593270603,595471477,297,154,364,False,False
11535,593270603,595468475,297,649,650,False,False
11536,593270603,595468466,297,560,796,False,False
11537,593270603,595468841,297,0,1000,False,True
11538,593270603,595468774,297,286,293,False,False
11539,593270603,595468831,297,935,992,False,True
11540,593270603,595468818,297,800,825,False,False
11541,593270603,595468811,297,918,957,False,True
11542,593270603,595468804,297,87,676,False,False
11543,593270603,595468862,297,54,186,False,False
11544,593270603,595468855,297,587,767,False,False
11545,593270603,595472102,297,261,314,False,False
11546,593270603,595468848,297,54,702,False,False
11547,593270603,595470150,297,121,450,False,False
11548,593270603,595472000,297,107,229,False,False
11549,593270603,595469443,297,40,619,False,False
11550,593270603,595472007,297,71,604,False,False
11551,593270603,595471983,297,265,810,False,False
11552,593270603,595471990,297,221,743,False,False
11553,593270603,595471969,297,632,894,False,False
11554,593270603,595471976,297,162,948,False,False
11555,593270603,595471935,297,68,565,False,False
11556,593270603,595471194,297,499,630,False,False
11557,593270603,595471187,297,719,969,False,True
11558,593270603,595471173,297,94,774,False,False
11559,593270603,595470402,297,929,999,False,True
11560,593270603,595471222,297,874,988,False,True
11561,593270603,595471805,297,100,219,False,False
11562,593270603,595471208,297,666,746,False,False
11563,593270603,595471201,297,456,460,False,False
11564,593270603,595471229,297,581,936,False,False
11565,593270603,595471180,297,629,864,False,False
11566,593270603,595469802,297,552,615,False,False
11567,593270603,595469795,297,709,824,False,False
11568,593270603,595469787,297,105,372,False,False
11569,593270603,595469780,297,10,737,False,False
11570,593270603,595469764,297,723,750,False,False
11571,593270603,595469757,297,180,275,False,False
11572,593270603,595469905,297,691,964,False,True
11573,593270603,595470900,297,352,945,False,False
11574,593270603,595469912,297,663,690,False,False
11575,593270603,595468922,297,90,580,False,False
